Time resolution is 1 ps
time=635000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=640000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=645000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=650000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=655000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=660000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=665000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=670000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=675000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=680000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=685000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=690000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=695000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=700000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=705000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=710000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=715000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=720000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=725000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=730000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=735000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=740000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=745000 | clk=1 rst=0 | light_M1=010 light_MT=010 light_M2=100 light_S=100
time=750000 | clk=0 rst=0 | light_M1=010 light_MT=010 light_M2=100 light_S=100
time=755000 | clk=1 rst=0 | light_M1=010 light_MT=010 light_M2=100 light_S=100
time=760000 | clk=0 rst=0 | light_M1=010 light_MT=010 light_M2=100 light_S=100
time=765000 | clk=1 rst=0 | light_M1=010 light_MT=010 light_M2=100 light_S=100
time=770000 | clk=0 rst=0 | light_M1=010 light_MT=010 light_M2=100 light_S=100
time=775000 | clk=1 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=001
time=780000 | clk=0 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=001
time=785000 | clk=1 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=001
time=790000 | clk=0 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=001
time=795000 | clk=1 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=001
time=800000 | clk=0 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=001
time=805000 | clk=1 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=001
time=810000 | clk=0 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=001
time=815000 | clk=1 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=010
time=820000 | clk=0 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=010
time=825000 | clk=1 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=010
time=830000 | clk=0 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=010
time=835000 | clk=1 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=010
time=840000 | clk=0 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=010
time=845000 | clk=1 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=010
time=850000 | clk=0 rst=0 | light_M1=100 light_MT=100 light_M2=100 light_S=010
time=855000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=860000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=865000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=870000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=875000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=880000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=885000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=890000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=895000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=900000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=905000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=910000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=915000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=920000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=925000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=930000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=001 light_S=100
time=935000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=940000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=945000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=950000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=955000 | clk=1 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=960000 | clk=0 rst=0 | light_M1=001 light_MT=100 light_M2=010 light_S=100
time=965000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=970000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=975000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=980000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=985000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=990000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=995000 | clk=1 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
time=1000000 | clk=0 rst=0 | light_M1=001 light_MT=001 light_M2=100 light_S=100
